Grupo;Produto;Ano;Valor
VINHO DE MESA;Rosado;2013;1726022
VINHO DE MESA;Rosado;2014;958691
VINHO DE MESA;Rosado;2015;939838
VINHO DE MESA;Rosado;2016;312725
VINHO DE MESA;Rosado;2017;36121245
VINHO DE MESA;Rosado;2018;875524
VINHO DE MESA;Rosado;2019;1551794
VINHO DE MESA;Rosado;2020;715289
VINHO DE MESA;Rosado;2021;1391200
VINHO FINO DE MESA (VINÍFERA);Tinto;1970;7591557
VINHO FINO DE MESA (VINÍFERA);Tinto;1971;7265666
VINHO FINO DE MESA (VINÍFERA);Tinto;1972;6782837
VINHO FINO DE MESA (VINÍFERA);Tinto;1973;3419625
VINHO FINO DE MESA (VINÍFERA);Tinto;1974;10047658
VINHO FINO DE MESA (VINÍFERA);Tinto;1975;14731106
VINHO FINO DE MESA (VINÍFERA);Tinto;1976;12405154
VINHO FINO DE MESA (VINÍFERA);Tinto;1977;16131758
VINHO FINO DE MESA (VINÍFERA);Tinto;1978;15000671
VINHO FINO DE MESA (VINÍFERA);Tinto;1979;14356453
VINHO FINO DE MESA (VINÍFERA);Tinto;1980;9296741
VINHO FINO DE MESA (VINÍFERA);Tinto;1981;16036963
VINHO FINO DE MESA (VINÍFERA);Tinto;1982;19987588
VINHO FINO DE MESA (VINÍFERA);Tinto;1983;14340514
VINHO FINO DE MESA (VINÍFERA);Tinto;1984;15777602
VINHO FINO DE MESA (VINÍFERA);Tinto;1985;19347979
VINHO FINO DE MESA (VINÍFERA);Tinto;1986;12282967
VINHO FINO DE MESA (VINÍFERA);Tinto;1987;10920073
VINHO FINO DE MESA (VINÍFERA);Tinto;1988;18690518
VINHO FINO DE MESA (VINÍFERA);Tinto;1989;16140751
VINHO FINO DE MESA (VINÍFERA);Tinto;1990;17750504
VINHO FINO DE MESA (VINÍFERA);Tinto;1991;12001895
VINHO FINO DE MESA (VINÍFERA);Tinto;1992;13449911
VINHO FINO DE MESA (VINÍFERA);Tinto;1993;12119485
VINHO FINO DE MESA (VINÍFERA);Tinto;1994;15646861
VINHO FINO DE MESA (VINÍFERA);Tinto;1995;11924291
VINHO FINO DE MESA (VINÍFERA);Tinto;1996;12819866
VINHO FINO DE MESA (VINÍFERA);Tinto;1997;12590647
VINHO FINO DE MESA (VINÍFERA);Tinto;1998;8716140
VINHO FINO DE MESA (VINÍFERA);Tinto;1999;14640657
VINHO FINO DE MESA (VINÍFERA);Tinto;2000;18545613
VINHO FINO DE MESA (VINÍFERA);Tinto;2001;13587683
VINHO FINO DE MESA (VINÍFERA);Tinto;2002;13619033
VINHO FINO DE MESA (VINÍFERA);Tinto;2003;15357576
