data;values
03/08/2020;43,76
31/07/2020;43,13
30/07/2020;42,98
29/07/2020;43,51
28/07/2020;43,11
27/07/2020;43,39
24/07/2020;43,29
23/07/2020;42,96
22/07/2020;43,98
21/07/2020;44,31
20/07/2020;43,3
17/07/2020;43,53
16/07/2020;43,71
15/07/2020;43,96
14/07/2020;42,97
13/07/2020;42,85
10/07/2020;43,27
09/07/2020;42,35
08/07/2020;43,67
07/07/2020;43,28
06/07/2020;42,73
03/07/2020;42,92
02/07/2020;43,19
01/07/2020;42,18
30/06/2020;41,64
29/06/2020;41,58
26/06/2020;40,97
25/06/2020;41,18
24/06/2020;40,4
23/06/2020;42,72
22/06/2020;43,2
19/06/2020;42,33
18/06/2020;41,75
17/06/2020;40,47
16/06/2020;40,75
15/06/2020;39,44
12/06/2020;38,54
11/06/2020;37,76
10/06/2020;41,18
09/06/2020;40,45
08/06/2020;39,66
05/06/2020;41
04/06/2020;38,41
03/06/2020;37,98
02/06/2020;37,72
01/06/2020;36,74
29/05/2020;34,15
28/05/2020;33,98
27/05/2020;32,73
26/05/2020;33,95
25/05/2020;33,8
22/05/2020;33,8
21/05/2020;34,78
20/05/2020;34,76
19/05/2020;33,06
18/05/2020;33,3
15/05/2020;30,95
14/05/2020;29,87
13/05/2020;27,89
12/05/2020;26,67
11/05/2020;25,53
07/05/2020;24,23
06/05/2020;24,2
05/05/2020;25,46
04/05/2020;20,4
01/05/2020;18,49
30/04/2020;18,11
29/04/2020;17,86
28/04/2020;15,6
27/04/2020;15,17
24/04/2020;15,87
23/04/2020;15,06
22/04/2020;13,77
21/04/2020;9,12
20/04/2020;17,36
17/04/2020;19,75
16/04/2020;18,69
15/04/2020;19,8
14/04/2020;21,74
13/04/2020;20,23
09/04/2020;20,23
08/04/2020;25,22
07/04/2020;22,1
06/04/2020;22,58
03/04/2020;24,33
02/04/2020;20,24
01/04/2020;14,97
31/03/2020;14,85
30/03/2020;19,19
27/03/2020;22,39
26/03/2020;23,55
25/03/2020;25,62
24/03/2020;24,5
23/03/2020;21,85
20/03/2020;25,55
19/03/2020;23,98
18/03/2020;22,79
17/03/2020;27,97
16/03/2020;27,98
13/03/2020;33
12/03/2020;31,05
11/03/2020;34,45
10/03/2020;36,66
09/03/2020;35,33
06/03/2020;45,6
05/03/2020;51,29
04/03/2020;51,86
03/03/2020;52,24
02/03/2020;52,52
28/02/2020;51,31
27/02/2020;52,19
26/02/2020;54,96
25/02/2020;56,71
24/02/2020;56,04
21/02/2020;58,6
20/02/2020;59,72
19/02/2020;59,72
18/02/2020;57,35
17/02/2020;57,83
14/02/2020;57,37
13/02/2020;56,34
12/02/2020;55,54
11/02/2020;54
10/02/2020;53,39
07/02/2020;54,53
06/02/2020;55,18
05/02/2020;55,36
04/02/2020;53,9
03/02/2020;54
31/01/2020;57,77
30/01/2020;57,72
29/01/2020;59,46
28/01/2020;59,37
27/01/2020;58,54
24/01/2020;59,34
23/01/2020;61,26
22/01/2020;62,11
21/01/2020;63,66
20/01/2020;64,63
17/01/2020;64,05
16/01/2020;64,63
15/01/2020;63,29
14/01/2020;64,45
13/01/2020;64,14
10/01/2020;66,77
09/01/2020;66,58
08/01/2020;67,31
07/01/2020;68,74
06/01/2020;70,25
03/01/2020;69,08
02/01/2020;67,05
31/12/2019;67,77
30/12/2019;68,3
27/12/2019;68,91
26/12/2019;69,26
24/12/2019;69,26
23/12/2019;67,49
20/12/2019;68,66
19/12/2019;69,7
18/12/2019;69,12
16/12/2019;68,04
13/12/2019;67,44
12/12/2019;66,67
11/12/2019;65,37
10/12/2019;66,57
09/12/2019;66,44
06/12/2019;66,5
05/12/2019;65,67
04/12/2019;65,25
03/12/2019;62,95
02/12/2019;63,2
29/11/2019;64,5
28/11/2019;64,68
27/11/2019;65,03
26/11/2019;64,82
25/11/2019;64,67
22/11/2019;64,83
21/11/2019;64,99
20/11/2019;63,8
19/11/2019;62,37
18/11/2019;62,82
15/11/2019;63,32
14/11/2019;62,46
13/11/2019;62,27
12/11/2019;62,19
11/11/2019;62,58
08/11/2019;62
07/11/2019;62,6
06/11/2019;62,11
05/11/2019;62,72
04/11/2019;62,52
01/11/2019;60,17
31/10/2019;59,3
30/10/2019;60,22
29/10/2019;61,05
28/10/2019;60,39
25/10/2019;62,06
24/10/2019;61,71
23/10/2019;60,52
22/10/2019;60,5
21/10/2019;58,95
18/10/2019;59,96
17/10/2019;59,35
16/10/2019;59,3
15/10/2019;59,19
14/10/2019;58,81
11/10/2019;60,59
10/10/2019;59,08
09/10/2019;59,7
08/10/2019;58,14
07/10/2019;59,46
04/10/2019;59,13
03/10/2019;58,01
02/10/2019;57,92
01/10/2019;60,06
30/09/2019;60,99
27/09/2019;62,48
26/09/2019;62,08
25/09/2019;62,41
24/09/2019;64,13
23/09/2019;64,66
20/09/2019;65,23
19/09/2019;64,25
18/09/2019;64,29
17/09/2019;65,59
16/09/2019;68,42
13/09/2019;61,25
12/09/2019;60,76
11/09/2019;63,02
10/09/2019;64,67
09/09/2019;63,99
06/09/2019;61,28
05/09/2019;62,7
04/09/2019;60,68
03/09/2019;57,93
02/09/2019;58,55
30/08/2019;61,04
29/08/2019;60,59
28/08/2019;60,42
27/08/2019;58,44
26/08/2019;58,64
23/08/2019;58,64
22/08/2019;59,81
21/08/2019;60,6
20/08/2019;59,03
19/08/2019;59,79
16/08/2019;59
15/08/2019;57,37
14/08/2019;57,86
13/08/2019;59,9
12/08/2019;57,13
09/08/2019;57,37
08/08/2019;56,29
07/08/2019;55,03
06/08/2019;58,63
05/08/2019;59,32
02/08/2019;61,12
01/08/2019;62,9
31/07/2019;64,07
30/07/2019;62,55
29/07/2019;62,29
26/07/2019;62,46
25/07/2019;63,47
24/07/2019;63,83
23/07/2019;62,28
22/07/2019;61,96
19/07/2019;61,04
18/07/2019;60,7
17/07/2019;63,67
16/07/2019;65,87
15/07/2019;66,86
12/07/2019;66,65
11/07/2019;67,64
10/07/2019;66,41
09/07/2019;64,3
08/07/2019;64,89
05/07/2019;64,23
04/07/2019;63,62
03/07/2019;63,53
02/07/2019;62,72
01/07/2019;65,1
28/06/2019;67,52
27/06/2019;66,78
26/06/2019;66,85
25/06/2019;66,24
24/06/2019;65,16
21/06/2019;65,99
20/06/2019;65,44
19/06/2019;62,85
18/06/2019;63,35
17/06/2019;62,56
14/06/2019;63,13
13/06/2019;63,28
12/06/2019;61,66
11/06/2019;63,56
10/06/2019;64,31
07/06/2019;64,1
06/06/2019;62,77
05/06/2019;62,14
04/06/2019;63,56
03/06/2019;63,16
01/06/2019;63,16
31/05/2019;66,78
30/05/2019;69,55
29/05/2019;70,64
28/05/2019;70,19
27/05/2019;67,98
24/05/2019;67,98
23/05/2019;68,37
22/05/2019;71,94
21/05/2019;72,94
20/05/2019;73,21
17/05/2019;73,94
16/05/2019;74,7
15/05/2019;73,09
14/05/2019;72,53
13/05/2019;72,35
10/05/2019;71,63
09/05/2019;70,61
08/05/2019;71,09
07/05/2019;70,98
06/05/2019;71,95
03/05/2019;71,95
02/05/2019;70,56
01/05/2019;72,01
30/04/2019;72,19
29/04/2019;71,22
26/04/2019;71,03
25/04/2019;74,94
24/04/2019;73,59
23/04/2019;74,39
18/04/2019;70,71
17/04/2019;71,14
16/04/2019;70,74
15/04/2019;70,9
12/04/2019;71,57
11/04/2019;71,3
10/04/2019;71,63
09/04/2019;71,02
08/04/2019;71,12
05/04/2019;69,93
04/04/2019;69,8
03/04/2019;69,21
02/04/2019;69,68
01/04/2019;69,08
29/03/2019;67,93
28/03/2019;66,08
27/03/2019;67,35
26/03/2019;67,51
25/03/2019;67,37
22/03/2019;66,29
21/03/2019;68,3
20/03/2019;68,35
19/03/2019;67,13
18/03/2019;66,65
15/03/2019;66,11
14/03/2019;66,18
13/03/2019;65,89
12/03/2019;65,33
11/03/2019;65,06
08/03/2019;65,66
07/03/2019;64,82
06/03/2019;64,51
05/03/2019;64,24
04/03/2019;64,44
01/03/2019;63,71
28/02/2019;65,03
27/02/2019;65,55
26/02/2019;64,51
25/02/2019;64,02
22/02/2019;66,91
21/02/2019;66,91
20/02/2019;66,82
19/02/2019;65,86
18/02/2019;66,41
16/02/2019;65,65
15/02/2019;64
14/02/2019;63,27
13/02/2019;62,58
12/02/2019;61,3
11/02/2019;61,3
09/02/2019;61,37
08/02/2019;61,01
07/02/2019;62,22
06/02/2019;61,67
05/02/2019;62,26
04/02/2019;62,26
02/02/2019;61,86
